team_id,player_id,last_change_date
1001,101,2024-04-22
1002,102,2024-04-22
1003,103,2024-04-22
1004,104,2024-04-22
1005,105,2024-04-22
1006,106,2024-04-22
1007,107,2024-04-22
1008,108,2024-04-22
1009,109,2024-04-22
1010,110,2024-04-22
1011,111,2024-04-22
1012,112,2024-04-22
1013,113,2024-04-22
1014,114,2024-04-22
1015,115,2024-04-22
1016,116,2024-04-22
1017,117,2024-04-22
1018,118,2024-04-22
1019,119,2024-04-22
1020,120,2024-04-22
1001,121,2024-04-22
1002,122,2024-04-22
1003,123,2024-04-22
1004,124,2024-04-22
1005,125,2024-04-22
1006,126,2024-04-22
1007,127,2024-04-22
1008,128,2024-04-22
1009,129,2024-04-22
1010,130,2024-04-22
1011,131,2024-04-22
1012,132,2024-04-22
1013,133,2024-04-22
1014,134,2024-04-22
1015,135,2024-04-22
1016,136,2024-04-22
1017,137,2024-04-22
1018,138,2024-04-22
1019,139,2024-04-22
1020,140,2024-04-22
1001,141,2024-04-22
1002,142,2024-04-22
1003,143,2024-04-22
1004,144,2024-04-22
1005,145,2024-04-22
1006,146,2024-04-22
1007,147,2024-04-22
1008,148,2024-04-22
1009,149,2024-04-22
1010,150,2024-04-22
1011,151,2024-04-22
1012,152,2024-04-22
1013,153,2024-04-22
1014,154,2024-04-22
1015,155,2024-04-22
1016,156,2024-04-22
1017,157,2024-04-22
1018,158,2024-04-22
1019,159,2024-04-22
1020,160,2024-04-22
1001,161,2024-04-22
1002,162,2024-04-22
1003,163,2024-04-22
1004,164,2024-04-22
1005,165,2024-04-22
1006,166,2024-04-22
1007,167,2024-04-22
1008,168,2024-04-22
1009,169,2024-04-22
1010,170,2024-04-22
1011,171,2024-04-22
1012,172,2024-04-22
1013,173,2024-04-22
1014,174,2024-04-22
1015,175,2024-04-22
1016,176,2024-04-22
1017,177,2024-04-22
1018,178,2024-04-22
1019,179,2024-04-22
1020,180,2024-04-22
1001,181,2024-04-22
1002,182,2024-04-22
1003,183,2024-04-22
1004,184,2024-04-22
1005,185,2024-04-22
1006,186,2024-04-22
1007,187,2024-04-22
1008,188,2024-04-22
1009,189,2024-04-22
1010,190,2024-04-22
1011,191,2024-04-22
1012,192,2024-04-22
1013,193,2024-04-22
1014,194,2024-04-22
1015,195,2024-04-22
1016,196,2024-04-22
1017,197,2024-04-22
1018,198,2024-04-22
1019,199,2024-04-22
1020,200,2024-04-22
1001,201,2024-04-22
1002,202,2024-04-22
1003,203,2024-04-22
1004,204,2024-04-22
1005,205,2024-04-22
1006,206,2024-04-22
1007,207,2024-04-22
1008,208,2024-04-22
1009,209,2024-04-22
1010,210,2024-04-22
1011,211,2024-04-22
1012,212,2024-04-22
1013,213,2024-04-22
1014,214,2024-04-22
1015,215,2024-04-22
1016,216,2024-04-22
1017,217,2024-04-22
1018,218,2024-04-22
1019,219,2024-04-22
1020,220,2024-04-22
1001,221,2024-04-22
1002,222,2024-04-22
1003,223,2024-04-22
1004,224,2024-04-22
1005,225,2024-04-22
1006,226,2024-04-22
1007,227,2024-04-22
1008,228,2024-04-22
1009,229,2024-04-22
1010,230,2024-04-22
1011,231,2024-04-22
1012,232,2024-04-22
1013,233,2024-04-22
1014,234,2024-04-22
1015,235,2024-04-22
1016,236,2024-04-22
1017,237,2024-04-22
1018,238,2024-04-22
1019,239,2024-04-22
1020,240,2024-04-22
